,uid,odi_type,team,opposition,toss_won,bat_first_win_prob,is_home,balls_total,stadium_id,runs,run_rate,balls_per_wicket,runs_per_wicket,year,all_out_flag,deviation_from_avg_score,win_percentage
0,3705,daynight,South-Africa,England,1,0.651162791,1,300,174,204,4.08,37.5,25.5,2000,0,-31,1
1,3704,day,South-Africa,England,1,0.419354839,1,299,949,184,3.692307692,27.18181818,16.72727273,2000,1,-55,0
2,3711,daynight,South-Africa,England,0,0.395348837,1,270,508,149,3.311111111,24.54545455,13.54545455,2000,1,-87,1
3,3709,daynight,England,South-Africa,0,0.454545455,0,300,931,231,4.62,42.85714286,33,2000,0,6,0
4,3886,day,West-Indies,England,0,0.428571429,0,300,34,195,3.9,30,19.5,2000,0,-59,1
5,3883,day,West-Indies,England,0,0.368421053,0,300,1039,169,3.38,33.33333333,18.77777778,2000,0,-80,0
6,2291,daynight,England,Pakistan,0,0.458333333,0,257,1001,158,3.688715953,23.36363636,14.36363636,2000,1,-78,0
7,2289,daynight,England,Pakistan,0,0.507936508,0,300,545,211,4.22,30,21.1,2000,0,-38,0
8,2287,daynight,Pakistan,England,1,0.458333333,1,300,487,304,6.08,30,30.4,2000,0,55,0
9,3790,day,England,South-Africa,1,0.412698413,0,265,700,182,4.120754717,24.09090909,16.54545455,2000,1,-41,0
10,3786,day,Bangladesh,England,1,0.412698413,0,300,700,232,4.64,33.33333333,25.77777778,2000,0,9,0
11,3212,day,India,Australia,1,0.50617284,0,300,213,226,4.52,42.85714286,32.28571429,2000,0,3,0
12,3210,daynight,Australia,India,1,0.541176471,1,300,131,329,6.58,50,54.83333333,2000,0,99,1
13,3208,daynight,Australia,Pakistan,1,0.483221477,1,300,61,260,5.2,30,26,2000,0,38,1
14,3206,daynight,Australia,Pakistan,1,0.566037736,1,298,132,286,5.758389262,27.09090909,26,2000,1,62,1
15,3205,day,Pakistan,Australia,0,0.483221477,0,246,61,176,4.292682927,24.6,17.6,2000,0,-46,0
16,3204,daynight,India,Australia,1,0.566037736,0,219,132,100,2.739726027,19.90909091,9.090909091,2000,1,-124,0
17,3203,daynight,Australia,India,1,0.483221477,1,300,61,269,5.38,37.5,33.625,2000,0,47,1
18,3201,daynight,Pakistan,Australia,1,0.435897436,0,300,209,184,3.68,33.33333333,20.44444444,2000,0,-44,1
19,2268,daynight,Australia,New-Zealand,0,0.479166667,0,300,152,349,6.98,42.85714286,49.85714286,2000,0,119,1
20,2267,daynight,Australia,New-Zealand,0,0.380952381,0,300,155,310,6.2,60,62,2000,0,96,1
